Generator Production (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),Time Step
4.060634208,4.060634208,0.0,0.0,1
4.219408109,4.219408109,0.0,0.0,2
4.961969356,4.961969356,0.0,0.0,3
5.137053824,5.137053824,0.0,0.0,4
5.161052641,5.161052641,0.0,0.0,5
5.426296986,5.426296986,0.0,0.0,6
4.679029846645283,6.200015786,2.220446049250313e-16,1.5209859393547174,7
2.8421392896191975,8.033416645,0.0,5.191277355380803,8
0.0,8.068966743,0.809726291806891,8.068966743,9
0.0,7.710740108,3.100079652341017,7.710740108,10
0.0,7.114797443,5.603191906914662,7.114797443,11
0.0,8.88547301,4.663275453541912,8.88547301,12
0.0,9.026922076,4.105039492814786,9.026922076,13
0.0,9.268428339,2.1614909660375208,9.268428339,14
0.0,9.438550076,0.013847081030336383,9.438550076,15
3.0542476559678384,9.904921441,8.881784197001252e-16,6.850673785032162,16
5.9387077928722505,9.354557774,0.0,3.415849981127749,17
9.067267459259426,9.22444803,0.0,0.15718057074057343,18
11.91521833,11.91521833,0.0,0.0,19
15.88198101,15.88198101,0.0,0.0,20
19.38085197,19.38085197,0.0,0.0,21
18.84231053,18.84231053,0.0,0.0,22
14.182495,14.182495,0.0,0.0,23
9.050987688,9.050987688,0.0,0.0,24
