Battery Charge (kWh),Battery Discharge (kWh),Generator Production (kWh),Grid Import (kWh),Load Demand (kWh),Solar Curtailment (kWh),Solar Production (kWh),State of Charge (kWh),Time Step
0.0,3.71310055,0.0,0.0,3.71310055,0.0,0.0,47.664936802499994,1
0.0,3.850246513,0.0,0.0,3.850246513,0.0,0.0,44.00720261514999,2
0.0,3.922147577,0.0,0.0,3.922147577,0.0,0.0,40.28116241699999,3
0.0,4.840740008,0.0,0.0,4.840740008,0.0,0.0,35.68245940939999,4
0.0,5.504500008,0.0,0.0,5.504500008,0.0,0.0,30.453184401799987,5
0.0,5.692869978,0.0,0.0,5.692869978,0.0,0.0,25.044957922699986,6
0.0,4.3067766240361305,0.0,0.0,6.871955753,0.0,2.565179128963869,20.953520129865662,7
0.0,0.016725031667974122,0.0,0.0,8.40650595,0.0,8.389780918332026,20.937631349781086,8
5.957754865667855,0.0,0.0,0.0,8.899747882,0.0,14.857502747667855,26.59749847216557,9
11.744923463283873,0.0,0.0,0.0,8.537873092,0.0,20.282796555283873,37.75517576228525,10
15.771383952184188,0.0,0.0,0.0,8.002153308,0.0,23.773537260184188,52.737990516860236,11
16.72438026313973,0.0,0.0,0.0,8.720917636,0.0,25.445297899139728,68.62615176684298,12
15.321987043589749,0.0,0.0,0.0,9.809463876,0.0,25.13145091958975,83.18203945825324,13
9.343829228166028,0.0,0.0,0.0,13.25056101,0.0,22.594390238166028,92.05867722501097,14
0.09222206314635883,0.0,0.0,0.0,18.10402886,0.0,18.19625092314636,92.146288185,15
0.0,3.5853972252966937,0.0,0.0,15.91283643,0.0,12.327439204703307,88.74016082096814,16
0.0,9.952089047308522,0.0,0.0,15.58021407,0.0,5.628125022691477,79.28567622602505,17
0.0,3.0522638978684755,0.0,10.386087235304032,14.01421239,0.0,0.5758612568274921,76.38602552305,18
0.0,0.0,0.0,16.10392341,16.10392341,0.0,0.0,76.38602552305,19
0.0,19.83947905,0.0,0.0,19.83947905,0.0,0.0,57.53852042554999,20
0.0,18.51345079,0.0,0.0,18.51345079,0.0,0.0,39.950742175049996,21
0.0,0.0,0.0,17.04587092,17.04587092,0.0,0.0,39.950742175049996,22
20.47695293,0.0,0.0,34.54335247,14.06639954,0.0,0.0,59.40384745855,23
0.0,8.643647509,0.0,0.0,8.643647509,0.0,0.0,51.192382325,24
